,city,population,average_education_index,crime_index,sixteen_plus_employed_percentage,house_median_value,edu_index_norm,employed_percentage_norm
1,Shorewood Hills,1783,17.58,1020,76.7,596400,1,0.8637387387387389
2,Maple Bluff,1445,16.66,649,81.6,450400,0.9476678043230945,0.9189189189189189
3,River Hills,1501,16.48,360,80.6,619900,0.9374288964732652,0.9076576576576576
4,Fox Point,6695,16.4,446,78.3,289500,0.9328782707622298,0.8817567567567568
5,Elm Grove,5985,16.25,432,78.9,362900,0.9243458475540388,0.8885135135135136
6,Whitefish Bay,14132,16.25,455,74.5,322400,0.9243458475540388,0.838963963963964
7,Bayside,4479,16,253,77,325600,0.9101251422070535,0.8671171171171171
8,Shorewood,13245,16,1022,83.2,295400,0.9101251422070535,0.936936936936937
9,Mequon,23300,15.7,293,81.4,346900,0.8930602957906713,0.9166666666666667
10,Kohler,2315,15.54,751,74.5,223600,0.8839590443686007,0.838963963963964
11,Brookfield,37971,15.34,921,80.2,282300,0.8725824800910126,0.9031531531531533
12,Middleton,18185,15.24,914,83.7,277600,0.8668941979522186,0.9425675675675677
13,Wauwatosa,46838,15.23,1518,80.4,222500,0.8663253697383392,0.9054054054054055
14,Madison,239848,15.23,1651,83.9,211600,0.8663253697383392,0.9448198198198199
15,Cedarburg,11485,15.16,370,77.5,252700,0.8623435722411833,0.8727477477477478
16,Verona,11353,15.13,702,76.8,245100,0.860637087599545,0.8648648648648649
17,Mcfarland,8009,15.12,728,80.1,240100,0.8600682593856656,0.902027027027027
18,Waunakee,12613,15.08,438,73.6,300200,0.857792946530148,0.8288288288288288
19,Delafield,7136,15,682,78.8,354600,0.8532423208191127,0.8873873873873874
20,Pewaukee,13599,15,460,80.2,267100,0.8532423208191127,0.9031531531531533
21,Glendale,12893,14.97,2001,84.1,208200,0.8515358361774745,0.947072072072072
22,Thiensville,3198,14.9,308,82.8,216800,0.8475540386803186,0.9324324324324325
23,Hudson,13023,14.83,1521,78.8,217400,0.8435722411831628,0.8873873873873874
24,Monona,7711,14.82,1861,84.8,223600,0.8430034129692834,0.954954954954955
25,Williams Bay,2604,14.78,593,74.5,242200,0.8407281001137656,0.838963963963964
26,Cottage Grove,6533,14.62,773,71.8,251500,0.8316268486916951,0.8085585585585585
27,Oregon,9629,14.61,710,74.8,216900,0.8310580204778157,0.8423423423423423
28,Sun Prairie,30601,14.57,884,75.2,203300,0.8287827076222981,0.8468468468468469
29,River Falls,15050,14.55,1192,85.2,169800,0.8276450511945393,0.9594594594594595
30,Fitchburg,26050,14.51,1221,78.5,268500,0.8253697383390217,0.884009009009009
31,Grafton,11539,14.46,495,80.8,204800,0.8225255972696247,0.9099099099099099
32,Brown Deer,12067,14.44,1180,83.6,151000,0.8213879408418658,0.9414414414414414
