"Rank","Crime Index","City&Population"
"1","0","Rosendale, WI / 860"
"2","8","Dane, WI / 1,154"
"3","33","Alma, WI / 766"
"4","107","Mishicot, WI / 1,349"
"5","111","Rib Lake, WI / 1,025"
"6","135","Cashton, WI / 1,034"
"7","164","Freedom, WI"
"8","170","North Prairie, WI / 2,284"
"9","179","Denmark, WI / 2,172"
"10","180","North Hudson, WI / 3,776"
"11","188","Trempealeau, WI / 1,698"
"12","194","Chenequa, WI / 536"
"13","194","Valders, WI / 1,042"
"14","195","Readstown, WI / 409"
"15","197","Hillsboro, WI / 1,412"
"16","221","Combined Locks, WI / 3,407"
"17","224","Edgar, WI / 1,561"
"18","243","Endeavor, WI / 464"
"19","253","Bayside, WI / 4,479"
"20","256","Strum, WI / 972"
"21","280","Durand, WI / 1,755"
"22","293","Mequon, WI / 23,300"
"23","308","Campbellsport, WI / 1,906"
"24","308","Thiensville, WI / 3,198"
"25","319","Luxemburg, WI / 2,557"
"26","332","Winneconne, WI / 2,506"
"27","359","Hazel Green, WI / 1,173"
"28","360","River Hills, WI / 1,501"
"29","361","Muskego, WI / 24,387"
"30","363","Poynette, WI / 2,516"
"31","363","Highland, WI / 914"
"32","366","Jackson, WI / 6,773"
"33","367","Brillion, WI / 3,183"
"34","370","Cedarburg, WI / 11,485"
"35","380","Shiocton, WI / 916"
"36","387","Fall Creek, WI / 1,316"
"37","388","Cross Plains, WI / 3,755"
"38","390","Cleveland, WI / 1,599"
"39","396","Independence, WI / 1,557"
"40","415","Kronenwetter, WI / 7,330"
"41","432","Elm Grove, WI / 5,985"
"42","436","Iron Ridge, WI / 927"
"43","438","Waunakee, WI / 12,613"
"44","440","Eagle, WI / 1,864"
"45","446","Fox Point, WI / 6,695"
"46","447","Blanchardville, WI / 805"
"47","455","Whitefish Bay, WI / 14,132"
"48","459","Fall River, WI / 1,563"
"49","460","Pewaukee, WI / 13,599"
"50","466","Port Washington, WI / 11,401"
"51","469","Fox Lake, WI / 1,544"
"52","469","Silver Lake, WI / 2,257"
"53","474","Spencer, WI / 1,914"
"54","475","Menomonee Falls, WI / 35,828"
"55","476","Frederic, WI / 1,032"
"56","480","Hartland, WI / 9,161"
"57","480","Kewaskum, WI / 4,030"
"58","481","Sheboygan Falls, WI / 7,796"
"59","482","Eleva, WI / 735"
"60","483","Lancaster, WI / 3,830"
"61","489","Waterloo, WI / 3,346"
"62","492","Oconomowoc, WI / 15,990"
"63","492","Barneveld, WI / 1,223"
"64","492","Mayville, WI / 5,086"
"65","492","Gilman, WI / 414"
"66","492","Spring Green, WI / 1,701"
"67","495","Grafton, WI / 11,539"
"68","495","Three Lakes, WI / 519"
"69","509","Sturtevant, WI / 6,981"
"70","510","Iron River, WI / 799"
"71","510","Omro, WI / 3,541"
"72","512","Coon Valley, WI / 766"
"73","519","Clinton, WI / 1,997"
"74","521","New Berlin, WI / 39,712"
"75","525","Belleville, WI / 2,759"
"76","527","Bloomer, WI / 3,558"
"77","532","Neshkoro, WI / 406"
"78","536","Genoa City, WI / 3,032"
"79","539","New Lisbon, WI / 2,545"
"80","540","Somerset, WI / 2,655"
"81","542","Park Falls, WI / 2,256"
"82","544","Westfield, WI / 1,276"
"83","545","Athens, WI / 1,008"
"84","549","Lake Mills, WI / 5,768"
"85","559","Bangor, WI / 1,523"
"86","562","Plainfield, WI / 981"
"87","565","Seymour, WI / 3,449"
"88","566","Kaukauna, WI / 15,649"
"89","570","Sturgeon Bay, WI / 9,093"
"90","571","De Pere, WI / 24,216"
"91","577","Manawa, WI / 1,273"
"92","578","Arcadia, WI / 2,953"
"93","579","Niagara, WI / 1,633"
"94","592","Kewaunee, WI / 2,925"
"95","593","Williams Bay, WI / 2,604"
"96","598","Mondovi, WI / 2,723"
"97","599","Fountain City, WI / 910"
"98","601","Edgerton, WI / 5,478"
"99","606","Fontana, WI"
"100","610","Caledonia, WI / 24,689"
"101","611","Dodgeville, WI / 4,693"
"102","612","Pulaski, WI / 3,507"
"103","614","West Salem, WI / 4,895"
"104","614","Horicon, WI / 3,658"
"105","626","Pleasant Prairie, WI / 20,015"
"106","627","Cuba City, WI / 1,899"
"107","636","Rome, WI / 680"
"108","639","Deerfield, WI / 2,468"
"109","640","Sharon, WI / 1,607"
"110","645","Chilton, WI / 3,953"
"111","648","Slinger, WI / 5,131"
"112","648","Walworth, WI / 2,825"
"113","649","Maple Bluff, WI / 1,445"
"114","651","Markesan, WI / 1,510"
"115","658","Pewaukee village, WI / 8,233"
"116","667","Viroqua, WI / 4,378"
"117","672","Mineral Point, WI / 2,659"
"118","682","Woodruff, WI / 896"
"119","682","Delafield, WI / 7,136"
"120","685","Juneau, WI / 2,750"
"121","685","Marion, WI / 1,171"
"122","687","North Fond Du Lac, WI / 5,000"
"123","690","Mount Horeb, WI / 7,286"
"124","698","Evansville, WI / 5,089"
"125","702","Verona, WI / 11,353"
"126","703","Green Lake, WI / 1,022"
"127","704","Holmen, WI / 9,335"
"128","706","Peshtigo, WI / 3,481"
"129","710","Oregon, WI / 9,629"
"130","712","Mukwonago, WI / 7,426"
"131","712","Stanley, WI / 3,606"
"132","714","Marshall, WI / 3,912"
"133","714","Franklin, WI / 35,920"
"134","719","Westby, WI / 2,246"
"135","721","Milton, WI / 5,562"
"136","724","Ripon, WI / 7,699"
"137","725","Germantown, WI / 19,791"
"138","728","Mcfarland, WI / 8,009"
"139","730","Princeton, WI / 1,187"
"140","731","Rothschild, WI / 5,279"
"141","735","Richland Center, WI / 5,128"
"142","735","Elkhart Lake, WI / 961"
"143","738","Columbus, WI / 5,014"
"144","742","Hales Corners, WI / 7,749"
"145","746","Brownsville, WI / 648"
"146","747","Hartford, WI / 14,251"
"147","751","Kohler, WI / 2,315"
"148","757","Stoughton, WI / 12,886"
"149","760","Fort Atkinson, WI / 12,436"
"150","766","Kiel, WI / 3,757"
"151","767","Whitehall, WI / 1,661"
"152","769","Darien, WI / 1,598"
"153","773","Cottage Grove, WI / 6,533"
"154","779","Cumberland, WI / 2,414"
"155","782","Neenah, WI / 25,697"
"156","782","Waupun, WI / 11,336"
"157","785","Chetek, WI / 2,413"
"158","789","Brodhead, WI / 3,285"
"159","795","Darlington, WI / 2,284"
"160","798","Cornell, WI / 1,401"
"161","805","Twin Lakes, WI / 6,033"
"162","806","Chippewa Falls, WI / 13,803"
"163","815","Plover, WI / 12,195"
"164","820","Fennimore, WI / 2,416"
"165","824","Blue Mounds, WI / 870"
"166","826","Elkhorn, WI / 10,020"
"167","829","Mosinee, WI / 4,008"
"168","833","Two Rivers, WI / 11,577"
"169","836","Platteville, WI / 11,480"
"170","837","Lodi, WI / 3,050"
"171","844","Saukville, WI / 4,479"
"172","844","New Holstein, WI / 3,223"
"173","851","Elk Mound, WI / 981"
"174","857","West Bend, WI / 31,496"
"175","857","Waukesha, WI / 71,083"
"176","865","Oconto Falls, WI / 2,859"
"177","868","Avoca, WI / 625"
"178","873","Onalaska, WI / 18,148"
"179","878","New Richmond, WI / 8,501"
"180","878","Blair, WI / 1,299"
"181","879","Marathon, WI / 1,472"
"182","879","New Glarus, WI / 2,177"
"183","884","Sun Prairie, WI / 30,601"
"184","885","Plymouth, WI / 8,408"
"185","888","Elroy, WI / 1,385"
"186","892","Burlington, WI / 10,528"
"187","894","Marshfield, WI / 18,514"
"188","895","Whitewater, WI / 14,801"
"189","896","Reedsburg, WI / 9,411"
"190","897","Neillsville, WI / 2,287"
"191","897","Pepin, WI / 796"
"192","902","New London, WI / 7,091"
"193","904","Barron, WI / 3,392"
"194","905","Washburn, WI / 2,190"
"195","912","Gillett, WI / 1,417"
"196","914","Middleton, WI / 18,185"
"197","921","Brookfield, WI / 37,971"
"198","925","Montello, WI / 1,494"
"199","936","Lomira, WI / 2,340"
"200","950","Amery, WI / 2,890"
"201","955","Grantsburg, WI / 1,227"
"202","969","Beaver Dam, WI / 16,331"
"203","972","Ellsworth, WI / 3,248"
"204","978","Altoona, WI / 6,940"
"205","983","Saint Francis, WI / 9,488"
"206","990","Hortonville, WI / 2,701"
"207","993","Monroe, WI / 10,807"
"208","1,000","South Milwaukee, WI / 21,210"
"209","1,010","Big Bend, WI / 1,327"
"210","1,011","Menomonie, WI"
