"Rank","Average Education Index","City&Population"
"1","17.58","Shorewood Hills, WI / 1,783"
"2","16.66","Maple Bluff, WI / 1,445"
"3","16.48","River Hills, WI / 1,501"
"4","16.4","Fox Point, WI / 6,695"
"5","16.25","Elm Grove, WI / 5,985"
"6","16.25","Whitefish Bay, WI / 14,132"
"7","16","Bayside, WI / 4,479"
"8","16","Shorewood, WI / 13,245"
"9","15.86","North Bay, WI / 253"
"10","15.71","Wind Point, WI / 1,634"
"11","15.7","Mequon, WI / 23,300"
"12","15.64","Egg Harbor, WI / 278"
"13","15.54","Kohler, WI / 2,315"
"14","15.5","Fontana-On-Geneva Lake Village, WI / 1,411"
"15","15.44","Lac La Belle, WI / 277"
"16","15.41","Oconomowoc Lake, WI / 547"
"17","15.4","Chenequa, WI / 536"
"18","15.34","Brookfield, WI / 37,971"
"19","15.3","Ephraim, WI / 218"
"20","15.28","Park Ridge, WI / 563"
"21","15.24","Middleton, WI / 18,185"
"22","15.23","Wauwatosa, WI / 46,838"
"23","15.23","Nashotah, WI / 1,524"
"24","15.23","Madison, WI / 239,848"
"25","15.17","Herbster, WI / 62"
"26","15.16","Cedarburg, WI / 11,485"
"27","15.16","Merton, WI / 3,463"
"28","15.13","Verona, WI / 11,353"
"29","15.12","Mcfarland, WI / 8,009"
"30","15.12","Wales, WI / 2,561"
"31","15.08","Waunakee, WI / 12,613"
"32","15","Delafield, WI / 7,136"
"33","15","Pewaukee, WI / 13,599"
"34","15","Bayfield, WI / 550"
"35","14.97","Glendale, WI / 12,893"
"36","14.9","Thiensville, WI / 3,198"
"37","14.85","Sherwood, WI / 2,770"
"38","14.83","Hudson, WI / 13,023"
"39","14.82","Monona, WI / 7,711"
"40","14.78","Williams Bay, WI / 2,604"
"41","14.77","Dyckesville, WI / 502"
"42","14.75","Okauchee Lake, WI / 4,581"
"43","14.62","Cottage Grove, WI / 6,533"
"44","14.61","Oregon, WI / 9,629"
"45","14.57","Sun Prairie, WI / 30,601"
"46","14.55","River Falls, WI / 15,050"
"47","14.53","Lake Wisconsin, WI / 4,369"
"48","14.51","Fitchburg, WI / 26,050"
"49","14.5","Rib Mountain, WI / 5,512"
"50","14.5","Lake Nebagamon, WI / 1,268"
"51","14.47","Cambridge, WI / 1,362"
"52","14.46","Grafton, WI / 11,539"
"53","14.44","Brown Deer, WI / 12,067"
"54","14.43","Pewaukee village, WI / 8,233"
"55","14.42","Chain O' Lakes, WI / 1,011"
"56","14.42","Greendale, WI / 14,208"
"57","14.41","New Berlin, WI / 39,712"
"58","14.41","Lake Arrowhead, WI / 691"
"59","14.38","Oconomowoc, WI / 15,990"
"60","14.37","Menomonee Falls, WI / 35,828"
"61","14.35","Hartland, WI / 9,161"
"62","14.34","Germantown, WI / 19,791"
"63","14.33","North Hudson, WI / 3,776"
"64","14.32","Ellison Bay, WI / 242"
"65","14.32","Port Washington, WI / 11,401"
"66","14.31","Richfield, WI / 11,365"
"67","14.31","Onalaska, WI / 18,148"
"68","14.31","Elkhart Lake, WI / 961"
"69","14.3","De Forest, WI / 9,232"
"70","14.27","Hobart, WI / 6,951"
"71","14.25","Windsor, WI / 3,902"
"72","14.22","Mount Horeb, WI / 7,286"
"73","14.21","Three Lakes, WI / 519"
"74","14.21","Butte Des Morts, WI / 773"
"75","14.2","Platteville, WI / 11,480"
