"Rank","House Median Value","City&Population"
"1","$977,900","Chenequa, WI / 536"
"2","$904,800","Lac La Belle, WI / 277"
"3","$830,600","Oconomowoc Lake, WI / 547"
"4","$619,900","River Hills, WI / 1,501"
"5","$596,400","Shorewood Hills, WI / 1,783"
"6","$450,400","Maple Bluff, WI / 1,445"
"7","$386,400","Minocqua, WI / 350"
"8","$371,000","Merton, WI / 3,463"
"9","$369,200","Ephraim, WI / 218"
"10","$362,900","Elm Grove, WI / 5,985"
"11","$362,700","Fontana-On-Geneva Lake Village, WI / 1,411"
"12","$355,000","Egg Harbor, WI / 278"
"13","$354,600","Delafield, WI / 7,136"
"14","$346,900","Mequon, WI / 23,300"
"15","$336,100","Okauchee Lake, WI / 4,581"
"16","$336,000","Nashotah, WI / 1,524"
"17","$325,600","Bayside, WI / 4,479"
"18","$324,400","Ellison Bay, WI / 242"
"19","$322,400","Whitefish Bay, WI / 14,132"
"20","$320,700","North Bay, WI / 253"
"21","$320,000","Herbster, WI / 62"
"22","$315,000","Chain O' Lakes, WI / 1,011"
"23","$300,200","Waunakee, WI / 12,613"
"24","$299,400","Richfield, WI / 11,365"
"25","$295,400","Shorewood, WI / 13,245"
"26","$289,500","Fox Point, WI / 6,695"
"27","$284,100","Lauderdale Lakes, WI / 1,100"
"28","$282,300","Brookfield, WI / 37,971"
"29","$277,600","Middleton, WI / 18,185"
"30","$276,400","Dyckesville, WI / 502"
"31","$274,100","Wales, WI / 2,561"
"32","$273,400","Lake Wisconsin, WI / 4,369"
"33","$272,600","Lake Koshkonong, WI / 1,235"
"34","$271,500","Baileys Harbor, WI / 268"
"35","$268,500","Fitchburg, WI / 26,050"
"36","$268,000","Muskego, WI / 24,387"
"37","$267,100","Pewaukee, WI / 13,599"
"38","$261,600","Wind Point, WI / 1,634"
"39","$259,600","Tichigan, WI / 5,332"
"40","$259,300","Sussex, WI / 10,632"
"41","$258,300","Clam Lake, WI / 61"
"42","$252,700","Cedarburg, WI / 11,485"
"43","$251,500","Cottage Grove, WI / 6,533"
"44","$248,800","Wind Lake, WI / 5,347"
"45","$248,100","Lake Arrowhead, WI / 691"
"46","$245,500","Hartland, WI / 9,161"
"47","$245,100","Verona, WI / 11,353"
"48","$242,200","Williams Bay, WI / 2,604"
"49","$241,200","North Prairie, WI / 2,284"
"50","$240,100","Mcfarland, WI / 8,009"
"51","$236,800","Waubeka, WI / 801"
"52","$236,700","New Berlin, WI / 39,712"
"53","$236,100","Cross Plains, WI / 3,755"
"54","$234,900","Germantown, WI / 19,791"
"55","$233,700","Butte Des Morts, WI / 773"
"56","$232,900","Sister Bay, WI / 694"
"57","$232,000","Oconomowoc, WI / 15,990"
"58","$231,800","Rochester, WI / 3,687"
"59","$228,800","Windsor, WI / 3,902"
"60","$228,000","Sherwood, WI / 2,770"
"61","$227,100","Menomonee Falls, WI / 35,828"
"62","$226,500","Franklin, WI / 35,920"
"63","$226,400","Lake Sherwood, WI / 343"
"64","$225,400","Mount Horeb, WI / 7,286"
"65","$224,800","Dousman, WI / 2,274"
"66","$223,600","Kohler, WI / 2,315"
"66","$223,600","Monona, WI / 7,711"
"68","$223,100","Sobieski, WI / 589"
"69","$223,000","Hales Corners, WI / 7,749"
"70","$222,500","Wauwatosa, WI / 46,838"
"71","$222,100","Ashippun, WI / 284"
"72","$220,700","Lake Ripley, WI / 1,727"
"73","$217,400","Hudson, WI / 13,023"
"74","$216,900","Oregon, WI / 9,629"
"75","$216,800","Thiensville, WI / 3,198"
"76","$215,800","Mukwonago, WI / 7,426"
"77","$214,900","Lake Camelot, WI / 1,002"
"78","$212,400","North Hudson, WI / 3,776"
"79","$211,600","Madison, WI / 239,848"
"80","$211,100","Big Bend, WI / 1,327"
"81","$210,800","Ixonia, WI / 1,690"
"82","$210,700","Little Sturgeon, WI / 169"
"83","$210,600","Suamico, WI / 11,621"
"84","$208,200","Glendale, WI / 12,893"
"85","$207,700","Bristol, WI / 4,909"
"86","$207,200","Rome, WI / 680"
"87","$205,600","Hingham, WI / 999"
"88","$205,500","Oak Creek, WI / 34,823"
"89","$204,900","Eagle, WI / 1,864"
"90","$204,800","Grafton, WI / 11,539"
"91","$204,300","Pleasant Prairie, WI / 20,015"
"92","$203,500","Potter Lake, WI / 1,109"
"93","$203,300","Sun Prairie, WI / 30,601"
"94","$202,900","Greendale, WI / 14,208"
"94","$202,900","Saint Peter, WI / 1,384"
"96","$202,800","Sandy Hook, WI / 442"
"97","$202,500","Wilson, WI / 256"
"98","$202,100","De Forest, WI / 9,232"
"99","$200,000","Merrimac, WI / 448"
"99","$200,000","Lebanon, WI / 340"
"101","$199,200","Bayfield, WI / 550"
"102","$198,800","Delavan Lake, WI / 2,665"
"103","$198,500","Dane, WI / 1,154"
"104","$197,900","Knowlton, WI / 130"
"105","$196,900","Caledonia, WI / 24,689"
"106","$196,800","Saukville, WI / 4,479"
